Num,Label,Value,Active_Cnt,Phase,Min,Max,Init,Used,Status,Parm_StDev,Gradient,Pr_type
259,Fishery_ARDEV_y1957_a3,1.62346,205,5,-10,10,0,0,act,0.377736,5.02E-07,dev
260,Fishery_ARDEV_y1957_a4,1.34681,206,5,-10,10,0,0,act,0.37795,3.68E-07,dev
261,Fishery_ARDEV_y1957_a5,0.988385,207,5,-10,10,0,0,act,0.472917,3.21E-07,dev
262,Fishery_ARDEV_y1957_a6,0.725285,208,5,-10,10,0,0,act,0.551817,2.58E-07,dev
263,Fishery_ARDEV_y1958_a1,1.57125,209,5,-10,10,0,0,act,0.309533,3.90E-08,dev
264,Fishery_ARDEV_y1958_a2,1.75099,210,5,-10,10,0,0,act,0.397278,1.15E-07,dev
265,Fishery_ARDEV_y1958_a3,1.21127,211,5,-10,10,0,0,act,0.392713,-5.49E-08,dev
266,Fishery_ARDEV_y1958_a4,0.679317,212,5,-10,10,0,0,act,0.512242,-1.73E-07,dev
267,Fishery_ARDEV_y1958_a5,0.957873,213,5,-10,10,0,0,act,0.47692,1.50E-07,dev
268,Fishery_ARDEV_y1958_a6,0.100663,214,5,-10,10,0,0,act,0.60948,1.12E-09,dev
269,Fishery_ARDEV_y1959_a1,0.255987,215,5,-10,10,0,0,act,0.716159,4.35E-08,dev
270,Fishery_ARDEV_y1959_a2,1.21282,216,5,-10,10,0,0,act,0.311906,4.09E-07,dev
271,Fishery_ARDEV_y1959_a3,0.460087,217,5,-10,10,0,0,act,0.471763,1.62E-07,dev
272,Fishery_ARDEV_y1959_a4,0.160455,218,5,-10,10,0,0,act,0.460041,6.88E-08,dev
273,Fishery_ARDEV_y1959_a5,0.0642069,219,5,-10,10,0,0,act,0.56692,5.93E-08,dev
274,Fishery_ARDEV_y1959_a6,0.0919912,220,5,-10,10,0,0,act,0.559305,-1.32E-08,dev
275,Fishery_ARDEV_y1960_a1,1.46552,221,5,-10,10,0,0,act,0.324348,2.07E-07,dev
276,Fishery_ARDEV_y1960_a2,1.21048,222,5,-10,10,0,0,act,0.369411,1.87E-07,dev
277,Fishery_ARDEV_y1960_a3,0.54097,223,5,-10,10,0,0,act,0.332109,-1.69E-07,dev
278,Fishery_ARDEV_y1960_a4,-0.121598,224,5,-10,10,0,0,act,0.557523,-1.15E-07,dev
279,Fishery_ARDEV_y1960_a5,-0.415317,225,5,-10,10,0,0,act,0.539183,-1.87E-09,dev
280,Fishery_ARDEV_y1960_a6,-0.162046,226,5,-10,10,0,0,act,0.626103,-6.60E-08,dev
281,Fishery_ARDEV_y1961_a1,0.669705,227,5,-10,10,0,0,act,0.426243,5.39E-08,dev
282,Fishery_ARDEV_y1961_a2,1.77801,228,5,-10,10,0,0,act,0.296998,9.36E-07,dev
283,Fishery_ARDEV_y1961_a3,0.683964,229,5,-10,10,0,0,act,0.404389,3.38E-07,dev
284,Fishery_ARDEV_y1961_a4,0.80971,230,5,-10,10,0,0,act,0.304232,1.65E-06,dev
285,Fishery_ARDEV_y1961_a5,0.0318063,231,5,-10,10,0,0,act,0.58909,1.40E-07,dev
286,Fishery_ARDEV_y1961_a6,-0.114785,232,5,-10,10,0,0,act,0.535737,5.94E-08,dev
287,Fishery_ARDEV_y1962_a1,0.93932,233,5,-10,10,0,0,act,0.287694,-5.39E-08,dev
288,Fishery_ARDEV_y1962_a2,0.742519,234,5,-10,10,0,0,act,0.460767,1.88E-07,dev
289,Fishery_ARDEV_y1962_a3,1.32675,235,5,-10,10,0,0,act,0.389408,8.72E-08,dev
290,Fishery_ARDEV_y1962_a4,0.811542,236,5,-10,10,0,0,act,0.471686,-1.22E-09,dev
291,Fishery_ARDEV_y1962_a5,1.12928,237,5,-10,10,0,0,act,0.377827,-2.95E-07,dev
292,Fishery_ARDEV_y1962_a6,0.415835,238,5,-10,10,0,0,act,0.623754,6.83E-08,dev
293,Fishery_ARDEV_y1963_a1,1.39938,239,5,-10,10,0,0,act,0.316495,2.42E-07,dev
294,Fishery_ARDEV_y1963_a2,1.47736,240,5,-10,10,0,0,act,0.283501,1.31E-06,dev
295,Fishery_ARDEV_y1963_a3,0.410647,241,5,-10,10,0,0,act,0.517997,9.32E-08,dev
296,Fishery_ARDEV_y1963_a4,0.112322,242,5,-10,10,0,0,act,0.537468,5.98E-08,dev
297,Fishery_ARDEV_y1963_a5,-0.146743,243,5,-10,10,0,0,act,0.623171,1.01E-07,dev
298,Fishery_ARDEV_y1963_a6,-0.0401253,244,5,-10,10,0,0,act,0.489709,1.59E-09,dev
299,Fishery_ARDEV_y1964_a1,2.01653,245,5,-10,10,0,0,act,0.292093,3.07E-07,dev
